"DistinguishedName","IdentityReference","ActiveDirectoryRights","AccessControlType","PSComputerName","RunspaceId","PSShowComputerName"
"CN=Domain Computers,CN=Users,DC=XYZ123,DC=com","NT AUTHORITY\SYSTEM","GenericAll","Allow","DC1.Contoso.com","d06997d2-bd42-4826-9aa2-8a221671aa9e","False"
"CN=Domain Computers,CN=Users,DC=XYZ123,DC=com","BUILTIN\Account Operators","GenericAll","Allow","DC1.Contoso.com","d06997d2-bd42-4826-9aa2-8a221671aa9e","False"
"CN=Domain Computers,CN=Users,DC=XYZ123,DC=com","XYZ123\Domain Admins","GenericAll","Allow","DC1.Contoso.com","d06997d2-bd42-4826-9aa2-8a221671aa9e","False"
"CN=Domain Computers,CN=Users,DC=XYZ123,DC=com","XYZ123\Enterprise Admins","GenericAll","Allow","DC1.Contoso.com","d06997d2-bd42-4826-9aa2-8a221671aa9e","False"
