#TYPE Deserialized.System.Management.Automation.PSCustomObject
"AccessMaskRaw","ComputerName","DisplayName","AccessMask","AceTypeRaw","AceFlags","Name","AceType","Identity","PSComputerName","RunspaceId","PSShowComputerName"
"131581","2008R2","Windows Font Cache Service","QueryConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, ReadControl","0","0","FontCache","Allow","NT AUTHORITY\SYSTEM","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"983551","2008R2","Windows Font Cache Service","QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","0","FontCache","Allow","BUILTIN\Administrators","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"131469","2008R2","Windows Font Cache Service","QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","0","FontCache","Allow","NT AUTHORITY\INTERACTIVE","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"131469","2008R2","Windows Font Cache Service","QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","0","FontCache","Allow","NT AUTHORITY\SERVICE","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"131485","2008R2","Windows Font Cache Service","QueryConfig, QueryStatus, EnumerateDependents, Start, Interrogate, UserDefinedControl, ReadControl","0","0","FontCache","Allow","S-1-15-2-1","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
