"DistinguishedName","IdentityReference","ActiveDirectoryRights","AccessControlType","PSComputerName","RunspaceId","PSShowComputerName"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=XYZ123,DC=com","CREATOR OWNER","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","USDC1.US.Contoso.com","e5107139-a8a4-4c2f-88a7-ffe97956b255","False"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=XYZ123,DC=com","NT AUTHORITY\SYSTEM","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","USDC1.US.Contoso.com","e5107139-a8a4-4c2f-88a7-ffe97956b255","False"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=XYZ123,DC=com","XYZ123\Domain Admins","CreateChild, Self, WriteProperty, GenericRead, WriteDacl, WriteOwner","Allow","USDC1.US.Contoso.com","e5107139-a8a4-4c2f-88a7-ffe97956b255","False"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=XYZ123,DC=com","XYZ123\Domain Admins","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","USDC1.US.Contoso.com","e5107139-a8a4-4c2f-88a7-ffe97956b255","False"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=XYZ123,DC=com","XYZ123\Domain Admins","CreateChild, Self, WriteProperty, GenericRead, WriteDacl, WriteOwner","Allow","USDC1.US.Contoso.com","e5107139-a8a4-4c2f-88a7-ffe97956b255","False"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=XYZ123,DC=com","XYZ123\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","USDC1.US.Contoso.com","e5107139-a8a4-4c2f-88a7-ffe97956b255","False"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=XYZ123,DC=com","XYZ123\Enterprise Admins","CreateChild, Self, WriteProperty, GenericRead, WriteDacl, WriteOwner","Allow","USDC1.US.Contoso.com","e5107139-a8a4-4c2f-88a7-ffe97956b255","False"
