#TYPE Deserialized.System.Management.Automation.PSCustomObject
"AccessMask","AceTypeRaw","ComputerName","AceFlags","Name","Identity","AceType","AccessMaskRaw","DisplayName","PSComputerName","RunspaceId","PSShowComputerName"
"QueryConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","Appinfo","NT AUTHORITY\SYSTEM","Allow","131581","Application Information","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","DC1","0","Appinfo","BUILTIN\Administrators","Allow","983551","Application Information","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, QueryStatus, EnumerateDependents, Start, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","Appinfo","NT AUTHORITY\INTERACTIVE","Allow","131485","Application Information","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","Appinfo","NT AUTHORITY\SERVICE","Allow","131469","Application Information","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"UserDefinedControl","0","DC1","0","Appinfo","NT AUTHORITY\Authenticated Users","Allow","256","Application Information","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
