#TYPE Deserialized.System.Management.Automation.PSCustomObject
"AccessMask","AceTypeRaw","ComputerName","AceFlags","Name","Identity","AceType","AccessMaskRaw","DisplayName","PSComputerName","RunspaceId","PSShowComputerName"
"QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","DC1","0","AppXSvc","NT SERVICE\TrustedInstaller","Allow","983551","AppX Deployment Service (AppXSVC)","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","AppXSvc","NT AUTHORITY\SYSTEM","Allow","131581","AppX Deployment Service (AppXSVC)","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","AppXSvc","BUILTIN\Administrators","Allow","131581","AppX Deployment Service (AppXSVC)","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, QueryStatus, EnumerateDependents, Start, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","AppXSvc","NT AUTHORITY\INTERACTIVE","Allow","131485","AppX Deployment Service (AppXSVC)","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, QueryStatus, EnumerateDependents, Start, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","AppXSvc","NT AUTHORITY\SERVICE","Allow","131485","AppX Deployment Service (AppXSVC)","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
