#TYPE Deserialized.System.Management.Automation.PSCustomObject
"AccessMask","AceTypeRaw","ComputerName","AceFlags","Name","Identity","AceType","AccessMaskRaw","DisplayName","PSComputerName","RunspaceId","PSShowComputerName"
"QueryConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","swprv","NT AUTHORITY\SYSTEM","Allow","131581","Microsoft Software Shadow Copy Provider","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","DC1","0","swprv","BUILTIN\Administrators","Allow","983551","Microsoft Software Shadow Copy Provider","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","swprv","NT AUTHORITY\INTERACTIVE","Allow","131469","Microsoft Software Shadow Copy Provider","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","swprv","NT AUTHORITY\SERVICE","Allow","131469","Microsoft Software Shadow Copy Provider","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","DC1","0","swprv","BUILTIN\Server Operators","Allow","983551","Microsoft Software Shadow Copy Provider","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
