#TYPE Deserialized.System.Management.Automation.PSCustomObject
"AccessMask","AceTypeRaw","ComputerName","AceFlags","Name","Identity","AceType","AccessMaskRaw","DisplayName","PSComputerName","RunspaceId","PSShowComputerName"
"QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","DC1","2","SCPolicySvc","NT AUTHORITY\SYSTEM","Allow","983551","Smart Card Removal Policy","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","SCPolicySvc","BUILTIN\Administrators","Allow","131583","Smart Card Removal Policy","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","SCPolicySvc","NT AUTHORITY\INTERACTIVE","Allow","131469","Smart Card Removal Policy","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","SCPolicySvc","NT AUTHORITY\SERVICE","Allow","131469","Smart Card Removal Policy","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
