#TYPE Deserialized.System.Management.Automation.PSCustomObject
"AccessMaskRaw","ComputerName","DisplayName","AccessMask","AceTypeRaw","AceFlags","Name","AceType","Identity","PSComputerName","RunspaceId","PSShowComputerName"
"983551","2008R2","Windows Modules Installer","QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","2","TrustedInstaller","Allow","NT AUTHORITY\SYSTEM","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"131583","2008R2","Windows Modules Installer","QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, ReadControl","0","0","TrustedInstaller","Allow","BUILTIN\Administrators","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
