#TYPE Deserialized.System.Management.Automation.PSCustomObject
"AccessMaskRaw","ComputerName","DisplayName","AccessMask","AceTypeRaw","AceFlags","Name","AceType","Identity","PSComputerName","RunspaceId","PSShowComputerName"
"983551","2008R2","Smart Card","QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","2","SCardSvr","Allow","NT AUTHORITY\SYSTEM","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"131583","2008R2","Smart Card","QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, ReadControl","0","0","SCardSvr","Allow","BUILTIN\Administrators","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"131469","2008R2","Smart Card","QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","0","SCardSvr","Allow","NT AUTHORITY\INTERACTIVE","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"131469","2008R2","Smart Card","QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","0","SCardSvr","Allow","NT AUTHORITY\SERVICE","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
