#TYPE Deserialized.System.Management.Automation.PSCustomObject
"AccessMaskRaw","ComputerName","DisplayName","AccessMask","AceTypeRaw","AceFlags","Name","AceType","Identity","PSComputerName","RunspaceId","PSShowComputerName"
"917759","2008R2","RPC Endpoint Mapper","QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, ReadControl, WriteDac, WriteOwner","0","0","RpcEptMapper","Allow","NT AUTHORITY\SYSTEM","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"917757","2008R2","RPC Endpoint Mapper","QueryConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, ReadControl, WriteDac, WriteOwner","0","0","RpcEptMapper","Allow","BUILTIN\Administrators","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
