"DistinguishedName","IdentityReference","ActiveDirectoryRights","AccessControlType","PSComputerName","RunspaceId","PSShowComputerName"
"DC=AA123,DC=XYZ123,DC=com","NT AUTHORITY\SYSTEM","GenericAll","Allow","USDC1.US.Contoso.com","e5107139-a8a4-4c2f-88a7-ffe97956b255","False"
"DC=AA123,DC=XYZ123,DC=com","XYZ123\Enterprise Admins","GenericAll","Allow","USDC1.US.Contoso.com","e5107139-a8a4-4c2f-88a7-ffe97956b255","False"
