"DistinguishedName","IdentityReference","ActiveDirectoryRights","AccessControlType","PSComputerName","RunspaceId","PSShowComputerName"
"CN=Builtin,DC=contoso,DC=com","NT AUTHORITY\SYSTEM","GenericAll","Allow","2008r2.contoso.com","5a7c7bad-b053-4836-a818-e33425bb46b0","False"
"CN=Builtin,DC=contoso,DC=com","CONTOSO\Enterprise Admins","GenericAll","Allow","2008r2.contoso.com","5a7c7bad-b053-4836-a818-e33425bb46b0","False"
"CN=Builtin,DC=contoso,DC=com","CONTOSO\Enterprise Admins","GenericAll","Allow","2008r2.contoso.com","5a7c7bad-b053-4836-a818-e33425bb46b0","False"
