"DistinguishedName","IdentityReference","ActiveDirectoryRights","AccessControlType","PSComputerName","RunspaceId","PSShowComputerName"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=contoso,DC=com","CREATOR OWNER","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","2008r2.contoso.com","5a7c7bad-b053-4836-a818-e33425bb46b0","False"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=contoso,DC=com","NT AUTHORITY\SYSTEM","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","2008r2.contoso.com","5a7c7bad-b053-4836-a818-e33425bb46b0","False"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=contoso,DC=com","CONTOSO\Domain Admins","CreateChild, Self, WriteProperty, GenericRead, WriteDacl, WriteOwner","Allow","2008r2.contoso.com","5a7c7bad-b053-4836-a818-e33425bb46b0","False"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=contoso,DC=com","CONTOSO\Domain Admins","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","2008r2.contoso.com","5a7c7bad-b053-4836-a818-e33425bb46b0","False"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=contoso,DC=com","CONTOSO\Domain Admins","CreateChild, Self, WriteProperty, GenericRead, WriteDacl, WriteOwner","Allow","2008r2.contoso.com","5a7c7bad-b053-4836-a818-e33425bb46b0","False"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=contoso,DC=com","CONTOSO\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","2008r2.contoso.com","5a7c7bad-b053-4836-a818-e33425bb46b0","False"
"cn={6ac1786c-016f-11d2-945f-00c04fb984f9},cn=policies,cn=system,DC=contoso,DC=com","CONTOSO\Enterprise Admins","CreateChild, Self, WriteProperty, GenericRead, WriteDacl, WriteOwner","Allow","2008r2.contoso.com","5a7c7bad-b053-4836-a818-e33425bb46b0","False"
