#TYPE Deserialized.System.Management.Automation.PSCustomObject
"AccessMaskRaw","ComputerName","DisplayName","AccessMask","AceTypeRaw","AceFlags","Name","AceType","Identity","PSComputerName","RunspaceId","PSShowComputerName"
"131469","2008R2","DHCP Client","QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","0","Dhcp","Allow","NT AUTHORITY\Authenticated Users","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"131581","2008R2","DHCP Client","QueryConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, ReadControl","0","0","Dhcp","Allow","BUILTIN\Network Configuration Operators","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"983551","2008R2","DHCP Client","QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","0","Dhcp","Allow","BUILTIN\Administrators","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"131485","2008R2","DHCP Client","QueryConfig, QueryStatus, EnumerateDependents, Start, Interrogate, UserDefinedControl, ReadControl","0","0","Dhcp","Allow","CONSOLE LOGON","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"131581","2008R2","DHCP Client","QueryConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, ReadControl","0","0","Dhcp","Allow","NT AUTHORITY\SYSTEM","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
