#TYPE Deserialized.System.Management.Automation.PSCustomObject
"AccessMaskRaw","ComputerName","DisplayName","AccessMask","AceTypeRaw","AceFlags","Name","AceType","Identity","PSComputerName","RunspaceId","PSShowComputerName"
"131581","2008R2","Microsoft .NET Framework NGEN v4.0.30319_X86","QueryConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, ReadControl","0","0","clr_optimization_v4.0.30319_32","Allow","NT AUTHORITY\SYSTEM","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"983551","2008R2","Microsoft .NET Framework NGEN v4.0.30319_X86","QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","0","clr_optimization_v4.0.30319_32","Allow","BUILTIN\Administrators","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"131469","2008R2","Microsoft .NET Framework NGEN v4.0.30319_X86","QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","0","clr_optimization_v4.0.30319_32","Allow","NT AUTHORITY\INTERACTIVE","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"131469","2008R2","Microsoft .NET Framework NGEN v4.0.30319_X86","QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","0","clr_optimization_v4.0.30319_32","Allow","NT AUTHORITY\SERVICE","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
"983551","2008R2","Microsoft .NET Framework NGEN v4.0.30319_X86","QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","0","clr_optimization_v4.0.30319_32","Allow","BUILTIN\Server Operators","2008r2.contoso.com","c157e16f-d6a3-4d1e-871c-1a5200309a4e","False"
