#TYPE Deserialized.System.Management.Automation.PSCustomObject
"AccessMask","AceTypeRaw","ComputerName","AceFlags","Name","Identity","AceType","AccessMaskRaw","DisplayName","PSComputerName","RunspaceId","PSShowComputerName"
"QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","DC1","2","ScDeviceEnum","NT AUTHORITY\SYSTEM","Allow","983551","Smart Card Device Enumeration Service","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","ScDeviceEnum","BUILTIN\Administrators","Allow","131583","Smart Card Device Enumeration Service","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","ScDeviceEnum","NT AUTHORITY\INTERACTIVE","Allow","131469","Smart Card Device Enumeration Service","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","ScDeviceEnum","NT AUTHORITY\SERVICE","Allow","131469","Smart Card Device Enumeration Service","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
