#TYPE Deserialized.System.Management.Automation.PSCustomObject
"AccessMask","AceTypeRaw","ComputerName","AceFlags","Name","Identity","AceType","AccessMaskRaw","DisplayName","PSComputerName","RunspaceId","PSShowComputerName"
"QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, ReadControl, WriteDac, WriteOwner","0","DC1","0","BDESVC","NT AUTHORITY\SYSTEM","Allow","917759","BitLocker Drive Encryption Service","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, ReadControl, WriteDac, WriteOwner","0","DC1","0","BDESVC","BUILTIN\Administrators","Allow","917759","BitLocker Drive Encryption Service","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
