#TYPE Deserialized.System.Management.Automation.PSCustomObject
"AccessMask","AceTypeRaw","ComputerName","AceFlags","Name","Identity","AceType","AccessMaskRaw","DisplayName","PSComputerName","RunspaceId","PSShowComputerName"
"QueryConfig, QueryStatus, EnumerateDependents, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","Dfs","NT AUTHORITY\Authenticated Users","Allow","131469","DFS Namespace","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","DC1","0","Dfs","BUILTIN\Administrators","Allow","983551","DFS Namespace","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, ChangeConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, Delete, ReadControl, WriteDac, WriteOwner","0","DC1","0","Dfs","BUILTIN\Server Operators","Allow","983551","DFS Namespace","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
"QueryConfig, QueryStatus, EnumerateDependents, Start, Stop, PauseContinue, Interrogate, UserDefinedControl, ReadControl","0","DC1","0","Dfs","NT AUTHORITY\SYSTEM","Allow","131581","DFS Namespace","DC1.Contoso.com","14594b49-905e-4494-a609-094ea30b5c25","False"
